日期,公司,比赛队伍,赢(最新),平(最新),输(最新),赢(最旧),平(最旧),输(最旧),最新时间,最旧时间
'2021-09-07 00:30,百家欧赔,法罗21 - 法国U21(1-1),20.62,9.13,1.08,13.86,6.68,1.15,'2021-09-07 00:27:30,'2021-09-03 22:03:45
'2021-09-07 00:30,威廉希尔,法罗21 - 法国U21(1-1),26.00,7.50,1.05,21.00,5.80,1.11,'2021-09-07 00:28:00,'2021-09-04 04:22:00
'2021-09-07 01:00,百家欧赔,厄斯特什 - 瓦斯特拉斯(1-1),2.00,3.30,3.67,2.06,3.20,3.49,'2021-09-07 00:47:37,'2021-08-25 21:48:25
'2021-09-07 01:00,威廉希尔,厄斯特什 - 瓦斯特拉斯(1-1),2.00,3.10,3.60,2.10,3.00,3.50,'2021-09-06 22:56:00,'2021-08-26 00:30:00
'2021-09-07 03:00,百家欧赔,博尔顿 - 伯顿(0-0),2.10,3.41,3.31,2.12,3.38,3.26,'2021-09-07 02:58:21,'2021-08-21 23:10:36
'2021-09-07 03:00,威廉希尔,博尔顿 - 伯顿(0-0),2.15,3.50,3.25,2.30,3.20,3.20,'2021-09-07 02:57:00,'2021-08-29 20:24:00
'2021-09-07 03:00,百家欧赔,摩德纳 - 雷吉亚那(1-1),2.85,2.68,2.66,2.23,3.01,3.17,'2021-09-07 02:58:22,'2021-08-31 02:09:24
'2021-09-07 03:00,威廉希尔,摩德纳 - 雷吉亚那(1-1),2.88,2.63,2.70,2.05,3.00,3.25,'2021-09-07 02:57:00,'2021-09-01 22:26:00
'2021-09-07 05:00,百家欧赔,大学生 - 阿根廷青年人(1-1),2.35,2.88,3.23,2.18,3.05,3.42,'2021-09-07 04:08:44,'2021-08-30 10:56:15
'2021-09-07 05:00,威廉希尔,大学生 - 阿根廷青年人(1-1),2.40,2.88,3.30,2.25,3.00,3.40,'2021-09-07 03:43:00,'2021-08-30 20:55:00
'2021-09-07 07:00,百家欧赔,智利大学 - 塞雷那(1-1),1.46,4.22,6.09,1.68,3.56,4.57,'2021-09-07 06:59:33,'2021-08-29 04:38:47
'2021-09-07 07:00,威廉希尔,智利大学 - 塞雷那(1-1),1.44,4.20,6.50,1.62,3.60,5.50,'2021-09-07 06:59:00,'2021-08-29 18:22:00
'2021-09-07 07:00,百家欧赔,圣菲利浦 - 基约塔(1-1),2.39,2.87,2.96,2.09,3.09,3.26,'2021-09-07 06:59:33,'2021-09-02 09:53:06
'2021-09-07 07:00,威廉希尔,圣菲利浦 - 基约塔(1-1),2.45,2.80,3.00,2.10,3.00,3.40,'2021-09-07 06:58:00,'2021-09-06 07:01:00
'2021-09-06 00:30,百家欧赔,帕特罗纳图 - 铁路工场(0-0),3.26,3.01,2.27,2.76,2.97,2.60,'2021-09-06 00:20:17,'2021-08-30 04:15:03
'2021-09-06 00:30,威廉希尔,帕特罗纳图 - 铁路工场(0-0),3.40,3.00,2.25,2.80,2.90,2.70,'2021-09-05 23:58:00,'2021-08-30 20:55:00
'2021-09-06 00:45,百家欧赔,毕尔巴鄂B队 - 费罗尔竞赛(2-2),2.07,3.05,3.44,1.92,3.16,3.76,'2021-09-06 00:30:21,'2021-08-31 22:14:02
'2021-09-06 00:45,威廉希尔,毕尔巴鄂B队 - 费罗尔竞赛(2-2),2.05,2.90,3.40,1.91,3.10,3.75,'2021-09-05 19:50:00,'2021-09-02 00:20:00
'2021-09-06 01:00,百家欧赔,奥斯曼体育 - 伊尼高尔士邦(1-1),1.63,3.54,4.63,1.60,3.68,4.65,'2021-09-06 00:50:28,'2021-09-05 00:42:44
'2021-09-06 01:00,威廉希尔,奥斯曼体育 - 伊尼高尔士邦(1-1),1.75,3.30,4.00,1.65,3.30,4.75,'2021-09-06 00:58:00,'2021-09-05 18:18:00
'2021-09-06 01:00,百家欧赔,科鲁姆 - 迪亚巴克尔士邦(1-1),1.94,3.29,3.45,1.93,3.32,3.45,'2021-09-06 00:50:28,'2021-09-05 11:06:03
'2021-09-06 01:00,威廉希尔,科鲁姆 - 迪亚巴克尔士邦(1-1),2.10,3.00,3.25,1.91,3.40,3.40,'2021-09-06 00:58:00,'2021-09-05 22:18:00
'2021-09-06 01:00,百家欧赔,布卡士邦SK - 厄斯帕尔塔(1-1),1.74,3.54,4.00,1.73,3.58,3.96,'2021-09-05 23:19:58,'2021-09-05 11:06:03
'2021-09-06 01:00,威廉希尔,布卡士邦SK - 厄斯帕尔塔(1-1),1.22,5.00,9.00,1.70,3.40,4.20,'2021-09-06 00:59:00,'2021-09-05 20:18:00
'2021-09-06 02:45,百家欧赔,科索沃 - 希腊(1-1),3.49,3.04,2.27,3.39,3.09,2.23,'2021-09-06 02:00:52,'2021-08-31 17:12:38
'2021-09-06 02:45,威廉希尔,科索沃 - 希腊(1-1),3.60,3.00,2.20,3.40,3.10,2.20,'2021-09-06 02:43:00,'2021-08-31 22:22:00
'2021-09-06 02:45,百家欧赔,瑞士 - 意大利(0-0),4.36,3.44,1.88,3.71,3.36,2.02,'2021-09-06 02:41:04,'2021-08-31 17:12:38
'2021-09-06 02:45,威廉希尔,瑞士 - 意大利(0-0),5.00,3.40,1.73,3.60,3.30,2.05,'2021-09-06 02:35:00,'2021-09-02 16:20:00
'2021-09-06 03:00,百家欧赔,加蓬 - 埃及(1-1),4.92,3.08,1.82,2.90,2.80,2.55,'2021-09-06 02:51:08,'2021-09-02 09:02:54
'2021-09-06 03:00,威廉希尔,加蓬 - 埃及(1-1),5.50,2.90,1.80,2.80,2.88,2.75,'2021-09-06 02:59:00,'2021-09-03 00:22:00
'2021-09-06 04:00,百家欧赔,麦德林独立 - 圣菲独立(0-0),2.39,2.82,3.08,2.40,2.97,2.89,'2021-09-06 03:51:26,'2021-08-30 21:58:28
'2021-09-06 04:00,威廉希尔,麦德林独立 - 圣菲独立(0-0),2.38,2.80,3.25,2.38,2.88,3.10,'2021-09-06 03:58:00,'2021-09-01 22:25:00
'2021-09-06 05:00,百家欧赔,厄瓜多尔 - 智利(0-0),1.88,3.39,4.27,2.19,3.19,3.29,'2021-09-06 04:51:44,'2021-09-01 10:26:57
'2021-09-06 05:00,威廉希尔,厄瓜多尔 - 智利(0-0),1.80,3.60,4.33,2.25,3.10,3.25,'2021-09-06 04:59:00,'2021-09-01 02:22:00
'2021-09-06 05:15,百家欧赔,巴拉纳竞技 - 累西腓体育(0-0),1.66,3.46,5.44,1.81,3.35,4.46,'2021-09-06 05:11:51,'2021-08-30 21:58:27
'2021-09-06 05:15,威廉希尔,巴拉纳竞技 - 累西腓体育(0-0),1.67,3.40,5.80,1.83,3.30,4.50,'2021-09-06 05:06:00,'2021-08-31 12:17:00
'2021-09-06 06:00,百家欧赔,巴拉圭 - 哥伦比亚(1-1),3.46,2.96,2.30,3.40,3.12,2.16,'2021-09-06 05:52:02,'2021-09-01 10:26:57
'2021-09-06 06:00,威廉希尔,巴拉圭 - 哥伦比亚(1-1),3.30,3.00,2.30,3.40,3.20,2.15,'2021-09-06 05:57:00,'2021-09-01 02:22:00
'2021-09-06 06:00,百家欧赔,竞技俱乐部 - 班菲尔德(0-0),2.32,3.00,3.19,1.95,3.11,4.02,'2021-09-06 05:52:03,'2021-08-30 03:54:59
'2021-09-06 06:00,威廉希尔,竞技俱乐部 - 班菲尔德(0-0),2.40,3.00,3.10,2.00,3.10,4.00,'2021-09-06 05:30:00,'2021-08-30 20:55:00
'2021-09-06 06:15,百家欧赔,莫纳加斯 - 委内瑞拉竞技(1-1),1.98,3.57,3.10,1.89,3.41,3.67,'2021-09-06 06:12:08,'2021-09-02 07:52:35
'2021-09-06 06:15,威廉希尔,莫纳加斯 - 委内瑞拉竞技(1-1),2.05,3.40,3.20,1.75,3.40,4.20,'2021-09-06 06:12:00,'2021-09-03 02:38:00
'2021-09-06 07:00,百家欧赔,萨尔瓦多 - 洪都拉斯(0-0),2.90,2.82,2.58,2.75,2.86,2.63,'2021-09-06 06:52:21,'2021-08-31 21:03:45
'2021-09-06 07:00,威廉希尔,萨尔瓦多 - 洪都拉斯(0-0),3.00,2.88,2.60,2.75,3.00,2.70,'2021-09-06 02:12:00,'2021-09-01 02:21:00
'2021-09-06 08:10,百家欧赔,美国 - 加拿大(1-1),1.58,3.67,5.55,1.55,3.82,5.49,'2021-09-06 07:52:38,'2021-08-31 21:03:45
'2021-09-06 08:10,威廉希尔,美国 - 加拿大(1-1),1.62,3.70,5.50,1.57,3.80,6.00,'2021-09-06 07:59:00,'2021-09-01 02:21:00
'2021-09-06 08:15,百家欧赔,河床 - 阿根廷独立(1-1),2.15,3.13,3.46,1.79,3.54,4.66,'2021-09-06 08:12:44,'2021-08-30 10:56:15
'2021-09-06 08:15,威廉希尔,河床 - 阿根廷独立(1-1),2.20,3.10,3.40,1.70,3.60,4.80,'2021-09-06 06:18:00,'2021-08-30 20:55:00
'2021-09-06 21:00,百家欧赔,乌干达 - 马里(0-0),3.60,2.59,2.35,3.49,2.84,2.21,'2021-09-06 20:56:27,'2021-09-04 18:20:35
'2021-09-06 21:00,威廉希尔,乌干达 - 马里(0-0),3.60,2.60,2.45,3.70,2.88,2.20,'2021-09-06 20:55:00,'2021-09-04 20:21:00
'2021-09-06 21:00,百家欧赔,贝宁 - 民主刚果(1-1),2.42,2.66,3.36,2.54,3.04,2.72,'2021-09-06 20:56:27,'2021-09-02 21:56:27
'2021-09-06 21:00,威廉希尔,贝宁 - 民主刚果(1-1),2.50,2.60,3.50,2.60,3.20,2.70,'2021-09-06 20:55:00,'2021-09-03 00:23:00
'2021-09-06 23:15,百家欧赔,德国U19 - 英格兰U19(1-1),2.44,3.29,2.60,2.44,3.34,2.57,'2021-09-06 23:07:07,'2021-09-06 09:53:13
'2021-09-06 23:15,百家欧赔,德国U19 - 英格兰U19(1-1),2.44,3.29,2.60,2.44,3.34,2.57,'2021-09-06 23:07:07,'2021-09-06 09:53:13
'2021-09-06 23:50,百家欧赔,纳积兰 - 尤胡德(1-1),1.87,3.52,3.47,2.04,3.33,3.22,'2021-09-06 23:47:19,'2021-09-05 23:19:58
'2021-09-06 23:50,威廉希尔,纳积兰 - 尤胡德(1-1),2.00,3.10,3.40,1.91,3.40,3.40,'2021-09-06 23:48:00,'2021-09-06 16:19:00
'2021-09-05 00:30,百家欧赔,图库曼竞技 - 兵工厂(0-0),1.66,3.71,4.81,1.72,3.62,4.38,'2021-09-05 00:22:37,'2021-08-30 10:36:11
